Table_name,Table_description,Field_name,Field_description,Mapping
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",subject_id,Unique identifier for the patient billed for one or more ICD-coded procedures during their hospital stay.,['Procedure.subject']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",hadm_id,Identifier for the specific hospital admission during which the billed ICD-coded procedures were performed.,['Procedure.encounter']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",chartdate,Date on which the ICD-coded procedure was performed or documented during the patient's hospital stay.,['Procedure.performed[x]']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",icd_code,ICD-9 or ICD-10 code identifying the specific procedure the patient was billed for during their hospital stay.,['Procedure.code']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",icd_version,Version of the ICD ontology (9 or 10) used to code the billed procedure for the patient's hospital stay.,['Procedure.code']
d_icd_procedures,This table defines International Classification of Diseases (ICD) codes for procedures. These codes are assigned at the end of the patient's stay and are used by the hospital to bill for care provided. They can further be used to identify if certain procedures have been performed (e.g. surgery).,long_title,Full descriptive title providing the clinical definition of a specific ICD procedure code used for billing and procedure identification.,['Procedure.code']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",subject_id,Unique identifier for the patient for whom a procedure was documented during the ICU stay.,['Procedure.subject']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",stay_id,Unique identifier for the ICU stay during which the procedure was documented even if performed outside the ICU.,['Procedure.encounter']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",starttime,Timestamp marking the start of a procedure documented during the ICU stay (e.g. initiation of mechanical ventilation).,['Procedure.performed[x]']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",endtime,Timestamp marking the end or completion of a procedure documented during the ICU stay.,['Procedure.performed[x]']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",location,Anatomical site or body location on the patient where the ICU-documented procedure was performed.,['Procedure.bodySite']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",statusdescription,Text describing the final status or outcome of the procedure documented during the ICU stay (e.g. completed or discontinued).,['Procedure.status']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",ordercategoryname,Category name of the clinical order associated with the procedure documented during the ICU stay.,['Procedure.category']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",itemid,Coded identifier for the specific procedure type recorded in the ICU procedure events table.,['Procedure.code']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",fluid,Type of biological fluid or sample (e.g. blood or urine) from which the laboratory test was performed.,['Specimen.type']
microbiologyevents,Microbiology cultures.,spec_itemid,Coded identifier for the type of specimen submitted for microbiology culture and bacterial growth testing.,['Specimen.type']
microbiologyevents,Microbiology cultures.,spec_type_desc,Textual description of the specimen type (e.g. blood or sputum) submitted for microbiology culture testing.,['Specimen.type']
